list_position,album_name,artist_names
1,Purple Rain,Prince; The Revolution
2,Rumours,Fleetwood Mac
3,Abbey Road,The Beatles
4,London Calling,The Clash
5,Blue,Joni Mitchell
6,Pet Sounds,The Beach Boys
7,To Pimp a Butterfly,Kendrick Lamar
8,OK Computer,Radiohead
9,What's Going On,Marvin Gaye
10,Nevermind,Nirvana
11,The Miseducation of Lauryn Hill,Ms. Lauryn Hill
12,Blonde on Blonde,Bob Dylan
13,The Velvet Underground & Nico,The Velvet Underground; Nico
14,Sgt. Pepper's Lonely Hearts Club Band,The Beatles
15,Ziggy Stardust,David Bowie
16,Born to Run,Bruce Springsteen
17,Horses,Patti Smith
18,Lemonade,Beyoncé
19,Remain in Light,Talking Heads
20,Hounds of Love,Kate Bush
21,Led Zeppelin IV,Led Zeppelin
22,Songs in the Key of Life,Stevie Wonder
23,Let It Bleed,The Rolling Stones
24,Paranoid,Black Sabbath
25,It Takes a Nation of Millions to Hold Us Back,Public Enemy
26,Ramones,Ramones
27,Thriller,Michael Jackson
28,Supa Dupa Fly,Missy Elliott
29,The Dark Side of the Moon,Pink Floyd
30,My Beautiful Dark Twisted Fantasy,Kanye West
31,Master of Puppets,Metallica
32,The Beatles,The Beatles
33,Rage Against the Machine,Rage Against the Machine
34,Enter the Wu-Tang (36 Chambers),The Wu-Tang Clan
35,After the Gold Rush,Neil Young
36,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do,Fiona Apple
37,Stankonia,Outkast
38,Graceland,Paul Simon
39,1989,Taylor Swift
40,Doolittle,Pixies
41,Reasonable Doubt,Jay-Z
42,Back in Black,AC/DC
43,Blood on the Tracks,Bob Dylan
44,Kind of Blue,Miles Davis
45,The Fame Monster,Lady Gaga
46,The Downward Spiral,Nine Inch Nails
47,Astral Weeks,Van Morrison
48,The Low End Theory,A Tribe Called Quest
49,Appetite for Destruction,Guns N' Roses
50,Raw Power,The Stooges
51,At Folsom Prison,Johnny Cash
52,Is This It,The Strokes
53,2001,Dr. Dre
54,Unknown Pleasures,Joy Division
55,There's a Riot Goin' On,Sly & the Family Stone
56,Hunky Dory,David Bowie
57,Music from Big Pink,The Band
58,I Put a Spell on You,Nina Simone
59,Illmatic,Nas
60,Back to Black,Amy Winehouse
61,Exile on Main Street,The Rolling Stones
62,Madvillainy,Madvillain
63,Rain Dogs,Tom Waits
64,Disintegration,The Cure
65,Songs of Leonard Cohen,Leonard Cohen
66,Like a Prayer,Madonna
67,In Rainbows,Radiohead
68,Channel Orange,Frank Ocean
69,Paul's Boutique,Beastie Boys
70,Daydream Nation,Sonic Youth
71,The Joshua Tree,U2
72,Loveless,My Bloody Valentine
73,Mothership Connection,Parliament
74,Highway 61 Revisited,Bob Dylan
75,Dirty Computer,Janelle Monáe
76,The Queen is Dead,The Smiths
77,The Black Album,Jay-Z
78,The Stranger,Billy Joel
79,Synchronicity,The Police
80,Baduizm,Erykah Badu
81,21,Adele
82,So,Peter Gabriel
83,Pretenders,Pretenders
84,Mellon Collie and the Infinite Sadness,Smashing Pumpkins
85,All Eyez on Me,2pac
86,Ten,Pearl Jam
87,Reign in Blood,Slayer
88,Journey in Satchidananda,Alice Coltrane
89,Dookie,Green Day
90,Jagged Little Pill,Alanis Morissette
91,Who's Next,The Who
92,Let It Be,The Replacements
93,Crazysexycool,TLC
94,Yankee Hotel Foxtrot,Wilco
95,Toxicity,System of a Down
96,Straight Outta Compton,N.W.A
97,Repeater,Fugazi
98,Car Wheels on a Gravel Road,Lucinda Williams
99,Heaven and Earth,Kamasi Washington
100,Nothing's Shocking,Jane's Addiction
