list_position,album_name,artist_names
1,Songs in the Key of Life,Stevie Wonder
2,Disintegration,The Cure
3,Hounds of Love,Kate Bush
4,Sign O' the Times,Prince
5,Abbey Road,The Beatles
6,Stankonia,OutKast
7,LONG SEASON,Fishmans
8,Wild is the Wind,Nina Simone
9,Clube Da Esquina,Milton Nascimento & Lô Borges
10,Pet Sounds,The Beach Boys
11,It Takes a Nation of Millions to Hold Us Back,Public Enemy
12,Bitches Brew,Miles Davis
13,What's Going On,Marvin Gaye
14,Blue,Joni Mitchell
15,Born to Run,Bruce Springsteen
16,The Velvet Rope,Janet Jackson
17,Maggot Brain,Funkadelic
18,Rumours,Fleetwood Mac
19,Purple Rain,Prince; The Revolution
20,Yankee Hotel Foxtrot,Wilco
21,The Velvet Underground & Nico,The Velvet Underground; Nico
22,To Pimp a Butterfly,Kendrick Lamar
23,London Calling,The Clash
24,"Live at the Harlem Square Club, 1963",Sam Cooke
25,Remain in Light,Talking Heads
26,Sgt. Pepper's Lonely Hearts Club Band,The Beatles
27,Electric Ladyland,The Jimi Hendrix Experience
28,The Miseducation of Lauryn Hill,Ms. Lauryn Hill
29,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do,Fiona Apple
30,Blood on the Tracks,Bob Dylan
31,Post,Björk
32,Lady in Satin,Billie Holiday
33,Tapestry,Carole King
34,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie
35,A Love Supreme,John Coltrane
36,Back to Black,Amy Winehouse
37,Exile on Main Street,The Rolling Stones
38,Illinois,Sufjan Stevens
39,On the Beach,Neil Young
40,Horses,Patti Smith
41,Tim,The Replacements
42,To Bring You My Love,PJ Harvey
43,Heaven or Las Vegas,Cocteau Twins
44,3 Feet High and Rising,De La Soul
45,Revolver,The Beatles
46,Things Fall Apart,The Roots
47,Kind of Blue,Miles Davis
48,Floating into the Night,Julee Cruise
49,Blonde,Frank Ocean
50,At Folsom Prison,Johnny Cash
51,Acabou Chorare,Novos Baianos
52,The Hissing of Summer Lawns,Joni Mitchell
53,Automatic for the People,R.E.M.
54,Enter The Wu-Tang (36 Chambers),Wu-Tang Clan
55,Lemonade,Beyoncé
56,Innervisions,Stevie Wonder
57,Karma,Pharoah Sanders
58,Astral Weeks,Van Morrison
59,Ready to Die,The Notorious B.I.G.
60,Live Through This,Hole
61,Car Wheels on a Gravel Road,Lucinda Williams
62,The Beatles,The Beatles
63,New Day Rising,Hüsker Dü
64,Modern Sounds in Country and Western Music,Ray Charles
65,Nevermind,Nirvana
66,Off the Wall,Michael Jackson
67,The Low End Theory,A Tribe Called Quest
68,Lady Soul,Aretha Franklin
69,Illmatic,Nas
70,loveless,my bloody valentine
71,Like a Prayer,Madonna
72,"good kid, m.A.A.d city",Kendrick Lamar
73,Going to a Go-Go,Smokey Robinson & The Miracles
74,Blonde on Blonde,Bob Dylan
75,Here's Little Richard,Little Richard
76,Let It Be,The Replacements
77,Baduizm,Erykah Badu
78,The Black Saint and the Sinner Lady,Mingus
79,Paranoid,Black Sabbath
80,Journey in Satchidananda,Alice Coltrane
81,Voodoo,D'Angelo
82,In Rainbows,Radiohead
83,Surfer Rosa,Pixies
84,OIL OF EVERY PEARL'S UN-INSIDES,SOPHIE
85,I Put a Spell on You,Nina Simone
86,The Life of Pablo,Kanye West
87,Paul's Boutique,Beastie Boys
88,Siamese Dream,Smashing Pumpkins
89,Marquee Moon,Television
90,Raw Power,The Stooges
91,Otis Blue,Otis Redding
92,Halcyon Digest,Deerhunter
93,The World Is a Ghetto,War
94,Love Deluxe,Sade
95,Selected Ambient Works Volume II,Aphex Twin
96,Tusk,Fleetwood Mac
97,Symbolic,Death
98,Bad Girls,Donna Summer
99,American Beauty,Grateful Dead
100,Live At the Regal,B.B. King
101,Bridge Over Troubled Water,Simon & Garfunkel
102,1999,Prince
103,Black One,Sunn O)))
104,The River,Bruce Springsteen
105,Ram,Paul McCartney; Linda McCartney
106,Straight Outta Compton,N.W.A
107,Donuts,J Dilla
108,Deceit,This Heat
109,Dig Me Out,Sleater-Kinney
110,The Queen Is Dead,The Smiths
111,Lift Your Skinny Fists Like Antennas to Heaven,Godspeed You Black Emperor!
112,Music Box,Mariah Carey
113,Madvillainy,Madvillain
114,Toxicity,System of a Down
115,Transformer,Lou Reed
116,The Chronic,Dr. Dre
117,Red Headed Stranger,Willie Nelson
118,Are You Experienced,The Jimi Hendrix Experience
119,Daydream Nation,Sonic Youth
120,The Score,Fugees
121,Thriller,Michael Jackson
122,Last Splash,The Breeders
123,Ramones,Ramones
124,Murmur,R.E.M.
125,The Dark Side of the Moon,Pink Floyd
126,Discovery,Daft Punk
127,Low,David Bowie
128,Rubber Soul,The Beatles
129,Double Nickels on the Dime,Minutemen
130,Head Hunters,Herbie Hancock
131,Faith,George Michael
132,Rid of Me,PJ Harvey
133,Physical Graffiti,Led Zeppelin
134,Either/Or,Elliott Smith
135,For You,山下達郎 [Tatsuro Yamashita]
136,Master of Puppets,Metallica
137,Live at the Apollo,James Brown
138,No. 1 in Heaven,Sparks
139,Entertainment!,Gang of Four
140,Ladies and Gentlemen We Are Floating in Space,Spiritualized®
141,Out to Lunch!,Eric Dolphy
142,Pink,Boris
143,Homogenic,Björk
144,Graceland,Paul Simon
145,If You're Feeling Sinister,Belle and Sebastian
146,Reasonable Doubt,JAY-Z
147,Erotica,Madonna
148,Music Has the Right to Children,Boards of Canada
149,channel ORANGE,Frank Ocean
150,OK Computer,Radiohead
151,Norman Fucking Rockwell!,Lana Del Rey
152,Souvlaki,Slowdive
153,空中キャンプ (Kūchū Camp),フィッシュマンズ
154,Southeastern,Jason Isbell
155,Emergency & I,The Dismemberment Plan
156,Dusty in Memphis,Dusty Springfield
157,There's a Riot Goin' On,Sly & The Family Stone
158,Dreaming My Dreams,Waylon Jennings
159,Van Halen,Van Halen
160,Time (The Revelator),Gillian Welch
161,Definitely Maybe,Oasis
162,My Beautiful Dark Twisted Fantasy,Kanye West
163,Doolittle,Pixies
164,I Never Loved a Man the Way I Love You,Aretha Franklin
165,Rust Never Sleeps,Neil Young & Crazy Horse
166,Transatlanticism,Death Cab for Cutie
167,Germfree Adolescents,X-Ray Spex
168,I Want You,Marvin Gaye
169,Fear of Music,Talking Heads
170,Appetite for Destruction,Guns N' Roses
171,Red,Taylor Swift
172,In the Aeroplane Over the Sea,Neutral Milk Hotel
173,Metal Box,Public Image Ltd.
174,Liquid Swords,Genius / GZA
175,Soundtracks for the Blind,Swans
176,Pink Moon,Nick Drake
177,Golden Hour,Kacey Musgraves
178,And Then Nothing Turned Itself Inside-Out,Yo La Tengo
179,Soundtrack from Twin Peaks,Angelo Badalamenti
180,Supa Dupa Fly,Missy Elliott
181,John Prine,John Prine
182,Sticky Fingers,The Rolling Stones
183,Presenting the Fabulous Ronettes Featuring Veronica,The Ronettes
184,Is This It,The Strokes
185,BEYONCÉ,Beyoncé
186,Carrie & Lowell,Sufjan Stevens
187,The Marshall Mathers LP,Eminem
188,The Dreaming,Kate Bush
189,"The Glow, Pt. 2",The Microphones
190,Slanted and Enchanted,Pavement
191,CrazySexyCool,TLC
192,You're Living All Over Me,Dinosaur
193,Fetch the Bolt Cutters,Fiona Apple
194,The Velvet Underground & Nico,The Velvet Underground; Nico
195,Big Fish Theory,Vince Staples
196,Moving Pictures,Rush
197,Reign in Blood,Slayer
198,Buena Vista Social Club,Buena Vista Social Club
199,Lost in the Dream,The War on Drugs
200,Blue Lines,Massive Attack
201,The Grey Album,Danger Mouse
202,Perfect From Now On,Built to Spill
203,Songs of Leonard Cohen,Leonard Cohen
204,Dirty Computer,Janelle Monáe
205,Trout Mask Replica,Captain Beefheart & His Magic Band
206,American Football,American Football
207,Rain Dogs,Tom Waits
208,Court and Spark,Joni Mitchell
209,Fun House,The Stooges
210,Hats,The Blue Nile
211,Repeater,Fugazi
212,Nightclubbing,Grace Jones
213,Tha Carter III,Lil Wayne
214,Ys,Joanna Newsom
215,Led Zeppelin IV,Led Zeppelin
216,69 Love Songs,The Magnetic Fields
217,Exile in Guyville,Liz Phair
218,Music from Big Pink,The Band
219,Grace,Jeff Buckley
220,Highway 61 Revisited,Bob Dylan
221,Where Did Our Love Go,The Supremes
222,Pornography,The Cure
223,Nebraska,Bruce Springsteen
224,The Joshua Tree,U2
225,Superfly,Curtis Mayfield
226,A Seat at the Table,Solange
227,(GI),Germs
228,Since I Left You,The Avalanches
229,Odelay,Beck
230,E•MO•TION,Carly Rae Jepsen
231,The Shape of Jazz To Come,Ornette Coleman
232,Dummy,Portishead
233,Déjà vu,"Crosby, Stills, Nash & Young"
234,Black Messiah,D'Angelo and The Vanguard
235,Amazing Grace,Aretha Franklin
236,Unknown Pleasures,Joy Division
237,Atrocity Exhibition,Danny Brown
238,Goodbye Yellow Brick Road,Elton John
239,The Sunset Tree,The Mountain Goats
240,The Fame Monster,Lady Gaga
241,"Never Mind the Bollocks, Here's the Sex Pistols",Sex Pistols
242,Nothing Feels Good,The Promise Ring
243,Turiya Sings,Alice Coltrane
244,There Is Love in You,Four Tet
245,Paid in Full,Eric B. & Rakim
246,Sound of Silver,LCD Soundsystem
247,Leader of the Pack,The Shangri-Las
248,Aja,Steely Dan
249,Hejira,Joni Mitchell
250,Untrue,Burial
251,Hosianna Mantra,Popol Vuh
252,Melodrama,Lorde
253,I Am What I Am,George Jones
254,The Marble Index,Nico
255,She's So Unusual,Cyndi Lauper
256,Gunfighter Ballads And Trail Songs,Marty Robbins
257,Aquemini,OutKast
258,Control,Janet Jackson
259,Sweetheart of the Rodeo,The Byrds
260,"Stories from the City, Stories from the Sea",PJ Harvey
261,Rejuvenation,The Meters
262,American Water,Silver Jews
263,Blue Rev,Alvvays
264,The Tired Sounds of Stars of the Lid,Stars of the Lid
265,Jailbreak,Thin Lizzy
266,Éthiopiques 7: Erè mèla mèla,ማሕሙድ ኣሕመድ [Mahmoud Ahmed]
267,Coat of Many Colors,Dolly Parton
268,Wildflowers,Tom Petty
269,When the Pawn...,Fiona Apple
270,Today!,Mississippi John Hurt
271,Chairs Missing,Wire
272,Parallel Lines,Blondie
273,After the Gold Rush,Neil Young
274,The Magnolia Electric Co.,Songs: Ohia
275,Die Mensch∙Maschine,Kraftwerk
276,Modern Vampires of the City,Vampire Weekend
277,Different Class,Pulp
278,Wave Notation 1: Music for Nine Post Cards,吉村弘 [Hiroshi Yoshimura]
279,Body Talk,Robyn
280,The Late Great Townes Van Zandt,Townes Van Zandt
281,Shin Joong Hyun & Yup Juns,신중현과 엽전들
282,Another Green World,Eno
283,Burnin',Bob Marley & The Wailers
284,Laughing Stock,Talk Talk
285,Hard Core,Lil' Kim
286,Chill Out,The KLF
287,I See a Darkness,Bonnie 'Prince' Billy
288,Tommy,The Who
289,...Baby One More Time,Britney Spears
290,The Wonderful and Frightening World Of...,The Fall
291,La leyenda del tiempo,Camarón De La Isla
292,Scary Monsters (and Super Creeps),David Bowie
293,AmeriKKKa's Most Wanted,Ice Cube
294,1집 행진/사랑일 뿐야,들국화 [Deul Guk Hwa]
295,Bad Brains,Bad Brains
296,The Raincoats,The Raincoats
297,A Rainbow in Curved Air,Terry Riley
298,Jazz,Queen
299,ANTI,Rihanna
300,The Lonesome Crowded West,Modest Mouse
